EPP,THB,2.54
THB,DEB,3.35
DEB,LTN,2.03
LTN,BHL,1.83
BHL,WFD,2.32
HAI,GRH,1.13
GRH,CHG,1.32
CHG,ROD,2.28
ROD,WFD,1.34
WFD,SWF,1.8
SWF,SNB,1.29
SNB,LYS,1.58
HAI,FLP,0.76
FLP,BDE,1.22
BDE,NEP,1.11
NEP,GHL,2.37
GHL,RED,1.27
RED,WAN,1.22
WAN,LYS,1.72
LYS,LEY,1.63
LEY,SFD,2.09
SFD,MLE,2.83
MLE,BNG,1.64
BNG,LST,2.27
LST,BNK,0.74
BNK,STP,0.74
STP,CYL,1.03
CYL,HOL,0.4
HOL,TCR,0.89
TCR,OXC,0.58
OXC,BDS,0.66
BDS,MAR,0.55
MAR,LAN,1.21
LAN,QWY,0.9
QWY,NHG,0.69
NHG,HPK,0.61
HPK,SBC,0.87
SBC,WCT,1.16
WCT,EAC,2.06
EAC,NAC,1.11
NAC,WAC,1.77
WAC,EBY,1.53
NAC,HLN,2.49
HLN,PER,2.11
PER,GFD,1.69
GFD,NHT,1.79
NHT,SRP,2.29
SRP,RUG,0.87
RUG,WRP,2.04
