ALD,LST,0.61,,
LST,MGT,0.51,,
MGT,BAR,0.63,,
BAR,FAR,0.51,,
FAR,KXX,1.85,,
KXX,ESQ,0.85,,
ESQ,GPS,0.61,,
GPS,BST,0.97,,
BST,FRD,0.72,,
FRD,WPK,7.24,,
WPK,PRD,1.46,,
PRD,NWP,1.64,,
NWP,HOH,1.29,,
HOH,WHR,1.26,,
WHR,RLN,1.38,,
RLN,ETE,1.72,,
ETE,RUM,1.14,,
RUM,RUI,0.72,,
RUI,ICK,1.85,,
ICK,HDN,1.08,,
HDN,UXB,2.03,,
HOH,NHR,2,,
NHR,PIN,1.48,,
PIN,NWH,2.08,,
NWH,NWD,1.61,, 
NWD,MPK,2.22,,
MPK,CRX,2.94,,
CRX,WAT,1.9,,
CRX,RKY,3.49,,
MPK,RKY,2.67,,
RKY,CWD,3.38,,
CWD,CLF,3.43,,
CLF,CHM,6.2,,
CLF,AME,3.27,,
