CFS,OAK,1.27
OAK,SGT,1.87
SGT,AGR,1.95
AGR,BGR,1.26
BGR,WGN,1.53
WGN,TPK,0.98
TPK,MNR,2.32
MNR,FPK,1.05
FPK,ARL,0.69
ARL,HRD,0.74
HRD,CRD,0.6
CRD,KXX,1.96
KXX,RSQ,0.92
RSQ,HOL,0.72
HOL,COV,0.6
COV,LSQ,0.26
LSQ,PIC,0.5
PIC,GPK,0.56
GPK,HPC,1.06
HPC,KNB,0.51
KNB,SKN,1.22
SKN,GRD,0.71
GRD,ECT,0.79
ECT,BCT,1.63
BCT,HMD,0.68
HMD,TGR,2.25
TGR,ACT,2.16
ACT,SEL,2.2
SEL,NFD,0.39
NFD,BOS,1
BOS,OST,2.43
OST,HNE,0.97
HNE,HNC,0.74
HNC,HNW,1.46
HNW,HTX,2.91
HTX,HRF,1.83
HRF,HRC,4.31
HRC,HTX,2.16
HRC,HRV,2.48
ACT,ECM,1.03
ECM,NEL,0.95
NEL,PRY,1.06
PRY,ALP,1.98
ALP,STN,1.58
STN,SHL,1.66
SHL,SHR,1.37
SHR,RLN,1.9
RLN,ETE,1.72
ETE,RUM,1.14
RUM,RUI,0.72
RUI,ICK,1.85
ICK,HDN,1.08
HDN,UXB,2.03
