ACT,Acton Town
ALD,Aldgate
ALE,Aldgate East
AWY,Aldwych
ALP,Alperton
AME,Amersham
ANG,Angel
ARC,Archway
AGR,Arnos Grove
ARL,Arsenal
BST,Baker Street
BAL,Balham
BNK,Bank
BAR,Barbican
BKG,Barking
BDE,Barkingside
BCT,Barons Court
BAY,Bayswater
BEC,Becontree
BPK,Belsize Park
BER,Bermondsey
BNG,Bethnal Green
BLF,Blackfriars
BHR,Blackhorse Road
BDS,Bond Street
BOR,Borough
BOS,Boston Manor
BGR,Bounds Green
BWR,Bow Road
BTX,Brent Cross
BRX,Brixton
BBB,Bromley-by-Bow
BHL,Buckhurst Hill
BUR,Burnt Oak
BSY,Bushey
CRD,Caledonian Road
CTN,Camden Town
CWR,Canada Water
CWF,Canary Wharf
CNT,Canning Town
CST,Cannon Street
CPK,Canons Park
CPP,Carpenders Park
CLF,Chalfont & Latimer
CHF,Chalk Farm
CYL,Chancery Lane
CHX,Charing Cross
CHM,Chesham
CHG,Chigwell
CHP,Chiswick Park
CWD,Chorleywood
CPC,Clapham Common
CPN,Clapham North
CPS,Clapham South
CFS,Cockfosters
COL,Colindale
CLW,Colliers Wood
COV,Covent Garden
CRX,Croxley
DGE,Dagenham East
DEB,Debden
DHL,Dollis Hill
EBY,Ealing Broadway
ECM,Ealing Common
ECT,Earls Court
EAC,East Acton
EFY,East Finchley
EHM,East Ham
EPY,East Putney
ETE,Eastcote
EDG,Edgware
ERB,Edgware Road (Bakerloo)
ERD,Edgware Road (H & C)
ELE,Elephant & Castle
EPK,Elm Park
EMB,Embankment
EPP,Epping
EUS,Euston
ESQ,Euston Square
FLP,Fairlop
FAR,Farringdon
FYC,Finchley Central
FRD,Finchley Road
FPK,Finsbury Park
FBY,Fulham Broadway
GHL,Gants Hill
GRD,Gloucester Road
GGR,Golders Green
GST,Goodge Street
GRH,Grange Hill
GPS,Great Portland Street
GPK,Green Park
GFD,Greenford
GUN,Gunnersbury
HAI,Hainault
HMS,Hammersmith (C&H)
HMD,Hammersmith (District and Picc)
HMP,Hampstead
HLN,Hanger Lane
HSD,Harlesden
HAW,Harrow & Wealdstone
HOH,Harrow on the Hill
HAT,Hatch End
HTX,Hatton Cross
HSL,Headstone Lane
HRF,Heathrow Terminal 4
HRV,Heathrow Terminal 5
HRC,Heathrow Terminals 123
HND,Hendon Central
HBT,High Barnet
HST,High Street Kensington
HBY,Highbury & Islington
HIG,Highgate
HDN,Hillingdon
HOL,Holborn
HPK,Holland Park
HRD,Holloway Road
HCH,Hornchurch
HNC,Hounslow Central
HNE,Hounslow East
HNW,Hounslow West
HPC,Hyde Park Corner
ICK,Ickenham
KEN,Kennington
KGN,Kensal Green
KTN,Kentish Town
KNT,Kenton
KEW,Kew Gardens
KIL,Kilburn
KPK,Kilburn Park
KXX,King's Cross St. Pancras
KBY,Kingsbury
KNB,Knightsbridge
LBG,Ladbroke Grove
LAM,Lambeth North
LAN,Lancaster Gate
LSQ,Leicester Square
LEY,Leyton
LYS,Leytonstone
LST,Liverpool Street
LON,London Bridge
LTN,Loughton
MDV,Maida Vale
MNR,Manor House
MAN,Mansion House
MAR,Marble Arch
MYB,Marylebone
MLE,Mile End
MHE,Mill Hill East
MON,Monument
MPK,Moor Park
MGT,Moorgate
MOR,Morden
MCR,Mornington Crescent
NEA,Neasden
NEP,Newbury Park
NAC,North Acton
NEL,North Ealing
NGW,North Greenwich
NHR,North Harrow
NWM,North Wembley
NFD,Northfields
NHT,Northolt
NWP,Northwick Park
NWD,Northwood
NWH,Northwood Hills
NHG,Notting Hill Gate
OAK,Oakwood
OLD,Old Street
OLY,Olympia
OST,Osterley
OVL,Oval
OXC,Oxford Circus
PAD,Paddington
